Прізвище,Ім'я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Іваненко,Богдан,Васильович,Чоловік,30.07.2008,Юрист,місто Тернопіль,"набережна Базарна, буд. 16, Болехів, 75154",+380 01 310-38-23,ichervonenko@example.com
Гаврюшенко,Соломія,Богданівна,Жінка,14.08.1994,Патологоанатом,хутір Бершадь,"провулок Кобзаря, буд. 92, Новогродівка, 64201",+380 98 946 36 12,orynakozachenko@example.com
Калениченко,Варвара,Володимирівна,Жінка,27.12.1964,Інженер,місто Тальне,"провулок Миколи Огренича, буд. 6 кв. 084, Копичинці, 09749",+380 10 985-73-78,zasenkoboryslav@example.net
Швачко,Азар,Сергійович,Чоловік,31.10.1952,Фермер,село Судова Вишня,"площа Вчительської, 2-й, буд. 884 кв. 75, Лубни, 90608",+380 96 949-55-10,nesterenkoborys@example.org
Сич,Олесь,Володимирович,Чоловік,13.07.2007,Правник,місто Новодружеськ,"парк Весняна, буд. 8, Корюківка, 25609",+380 82 784 25 01,cherednykfrants@example.com
Шовкопляс,Пилип,Володимирович,Чоловік,08.06.1997,Гицель,місто Ромни,"набережна Пішонівська, буд. 2 кв. 451, Старий Самбір, 33552",+380 57 801-22-72,saliitetiana@example.com
Кащенко,Ярема,Дмитрович,Чоловік,17.10.1974,Актор,селище Привілля,"провулок Цементний, буд. 11 кв. 9, Київ, 12894",434-16-54,lupiialla@example.net
Ткач,Герман,Євгенович,Чоловік,25.02.1971,Агроном,селище Івано-Франківськ,"узвіз Сашка Хорошенка, буд. 74 кв. 7, Рівне, 60229",459 60 43,lizatiahnybok@example.org
Зінченко,Амвросій,Дмитрович,Чоловік,27.05.1943,Конструктор,село Прип'ять,"узвіз Фруктова, буд. 16 кв. 496, Сокиряни, 52718",+380 (46) 805-02-91,myroslav58@example.com
Джунь,Галина,Романівна,Жінка,03.02.2004,Електрик,місто Моршин,"узвіз Ланжерон, буд. 37, Торецьк, 18408",+380 (97) 177-77-09,skalenychenko@example.org
Зінчук,Данило,Юрійович,Чоловік,25.10.1975,Випробувач,село Мерефа,"проспект Князівська, буд. 16 кв. 342, Новомиргород, 54255",+380 42 540-30-90,erika74@example.net
Бездітко,Богодар,Романович,Чоловік,26.08.1942,Громадський діяч,селище Джанкой,"провулок Серединський, буд. 7, Київ, 15223",+380 (43) 930-97-59,lizaduplii@example.org
Сагаль,Федір,Ярославович,Чоловік,10.02.1984,Пекар,селище Ізюм,"узвіз Поліська, буд. 1 кв. 831, Теребовля, 99092",+380 59 592 96 59,tdeineko@example.net
Гайдай,Юхим,Іванович,Чоловік,04.07.1953,Юрист,селище Лубни,"шосе Олександра Богомольця, буд. 332, Гірське, 10564",090 545 78 04,lieremenko@example.com
Дергач,Іван,Васильович,Чоловік,19.12.1957,Машиніст,хутір Зеленодольськ,"набережна Сімферопольська, буд. 08 кв. 2, Буринь, 44406",+380 58 415-39-53,bashpolchenkoamvrosii@example.net
Гресь,Еріка,Миколаївна,Жінка,10.05.1970,Футболіст,село Васильків,"площа Запорізька, буд. 378 кв. 0, Новоазовськ, 14877",050 834-10-27,qromanchuk@example.org
Дашенко,Марко,Андрійович,Чоловік,03.08.1958,Історик,селище Вугледар,"узвіз Ніли Крюкової, буд. 0 кв. 0, Інкерман, 29236",091 545 72 21,mykhailovlasiuk@example.org
Гаврилишин,Йосип,Миколайович,Чоловік,27.08.1967,Правник,хутір Бровари,"сквер Кропивницького, буд. 982 кв. 36, Дунаївці, 18390",656-37-04,serhii23@example.com
Артеменко,Венедикт,Федорович,Чоловік,16.04.1982,Машиніст,село Волочиськ,"парк Павлова, буд. 325 кв. 9, Старий Самбір, 10911",+380 21 254 34 54,stepan96@example.org
Чаленко,Георгій,Васильович,Чоловік,31.12.1995,Кіноактор,місто Перевальськ,"провулок Аеропортівський 5-й, буд. 402, Шпола, 08754",011 135 09 27,uviter@example.net
Гаврилишин,Богдан,Володимирович,Чоловік,11.02.1986,Економіст,місто Болград,"проспект Аеродромний 3-й, буд. 07 кв. 675, Зеленодольськ, 72571",076 614 95 83,heorhii45@example.com
Устенко,Галина,Вікторівна,Жінка,18.12.2001,Намотувальник,селище Соледар,"набережна Хутірська, буд. 3 кв. 054, Мерефа, 39087",+380 (19) 186-33-41,pbabenko@example.com
Бгиденко,Наталія,Богданівна,Жінка,12.10.1951,Музикант,село Овруч,"сквер Павлова, буд. 961 кв. 2, Ямпіль, 43023",089 022-64-95,babiichukzorian@example.com
Демʼяненко,Павло,Геннадійович,Чоловік,23.09.1958,Антрополог,хутір Ніжин,"вулиця Цементний, буд. 403, Снятин, 13109",073 500 41 17,valentynaatroshchenko@example.com
Валенко,Панас,Вікторович,Чоловік,17.10.1999,Музикознавець,селище Черкаси,"сквер Вапняний 2-й, буд. 69 кв. 56, Дебальцеве, 49284",+380 17 603 45 55,nkybkalo@example.org
Єсипенко,Златослава,Юріївна,Жінка,27.07.1968,Будник,село Хрустальний,"узвіз Маковий, буд. 149, Біла Церква, 30375",+380 (41) 736-18-01,martynvatamaniuk@example.net
Дашенко,Демид,Сергійович,Чоловік,04.04.2000,Фольклорист,селище Ворожба,"провулок Берестейська, буд. 5 кв. 70, Кременчук, 34264",+380 76 493 69 98,hodunokvalentyna@example.org
Єременко,Лукʼян,Петрович,Чоловік,16.07.1956,Сценарист,хутір Копичинці,"площа Степний 2-й, буд. 25 кв. 44, Богодухів, 63150",+380 64 165-68-09,babychenkonazar@example.org
Ейбоженко,Спас,Геннадійович,Чоловік,13.11.1939,Інженер,селище Кам'янка-Дніпровська,"сквер Ромашкова, буд. 962 кв. 7, Кам'янець-Подільський, 65568",+380 (75) 464-11-94,leon29@example.net
Гузенко,Володимир,Романович,Чоловік,02.01.1991,Дантист,місто Прип'ять,"узвіз Леопольда Ященка, буд. 5 кв. 1, Хирів, 38793",+380 (57) 429-30-20,valerii43@example.org
Бабариченко,Кирило,Юрійович,Чоловік,06.06.1968,Літературознавець,село Попасна,"проспект Басейний 4-й, буд. 166 кв. 516, Семенівка, 55953",413-25-83,ustym12@example.org
Базилевич,Дарина,Тарасівна,Жінка,13.04.1985,Вчитель,хутір Галич,"провулок Соляний 5-й, буд. 120 кв. 1, Гірське, 19428",097 476 32 08,aaronandriienko@example.net
Бабенко,Кирило,Анатолійович,Чоловік,28.03.1956,Мінералог,селище Багачеве,"площа Олексіївська, буд. 75, Кам'янка (Черкаська область), 62268",880-93-98,cherinkostepan@example.com
Назаренко,Марія,Андріївна,Жінка,03.11.1944,Модель,село Чугуїв,"парк Мирна, буд. 865, Кипуче, 77271",726-67-29,paliiorest@example.org
Власюк,Панас,Федорович,Чоловік,06.05.1976,Продюсер,село Лубни,"парк Різдвяна, буд. 12, Скадовськ, 95750",034 356-82-75,iukhym65@example.net
Рудько,Аніта,Богданівна,Жінка,07.11.1993,Гірничий інженер,село Надвірна,"узвіз Балтський 5-й, буд. 0, Південне, 06891",605 69 38,miroshnychenkodanna@example.org
Даценко,Гліб,Богданович,Чоловік,15.08.1994,Маркетолог,хутір Гайсин,"вулиця 5-та Лінія 6-й ст. Люстдорфської дороги, буд. 82, Гірник, 13178",+380 85 738-41-24,vyshniakbohuslav@example.org
Кащенко,Одарка,Романівна,Жінка,10.04.1982,Скульптор,село Бережани,"провулок Кар’єрна, буд. 002 кв. 42, Вугледар, 64538",234-78-51,dsvyrydenko@example.com
Баранець,Ліза,Вікторівна,Жінка,11.07.1958,Слідчий,місто Брянка,"проспект Миколи Вороного, буд. 7 кв. 1, Луцьк, 63011",+380 92 831 44 59,mykhailyna73@example.com
Токар,Тимофій,Володимирович,Чоловік,27.03.1994,Кінолог,селище Вилкове,"узвіз Херсонський сквер, буд. 742, Сколе, 67647",+380 (59) 892-96-00,tymofiihavrylets@example.net
Тесленко,Едита,Євгенівна,Жінка,01.02.1943,Мікробіолог,хутір Федорівка,"узвіз Лиманчик 2-й Лінія 5-та, буд. 69 кв. 0, Новомиргород, 15743",+380 67 326 59 17,kandriishyn@example.org
Дацюк,Олег,Станіславович,Чоловік,02.01.2002,Астронавт,селище Таврійськ,"вулиця Куликове поле, буд. 2 кв. 888, Рогатин, 10556",048 464-44-32,aaron93@example.com
Фаренюк,Ганна,Федорівна,Жінка,11.05.1957,Електрик,місто Апостолове,"площа Кипарисний 1-й, буд. 4 кв. 561, Скалат, 12003",+380 46 148 41 00,leonvysochan@example.com
Кириленко,Златослава,Вікторівна,Жінка,22.10.2006,Кінорежисер,місто Рогатин,"площа Морська, буд. 38 кв. 54, Волноваха, 36688",+380 (07) 788-66-10,jandriienko@example.org
Худяк,Віолетта,Олександрівна,Жінка,24.06.1998,Режисер,селище Решетилівка,"проспект Українських Героїв, буд. 50, Гадяч, 56424",+380 17 731-76-98,kshapoval@example.net
Павлик,Лариса,Дмитрівна,Жінка,29.06.2003,Електромонтажник,місто Ялта,"парк Лазурний 6-й, буд. 7 кв. 0, Вижниця, 57320",+380 96 068-92-53,danylovernydub@example.com
Христич,Лесь,Іванович,Чоловік,04.01.1969,Ґрунтознавець,селище Дебальцеве,"шосе Південна, буд. 512 кв. 4, Черкаси, 46347",+380 51 488-67-80,amaliiazabarnyi@example.net
Рева,Віолетта,Іванівна,Жінка,07.01.1954,Антрополог,місто Херсон,"узвіз 5-та Лінія Марії Демченко, буд. 4, Городенка, 82712",+380 98 695-02-99,danylo75@example.net
Захаренко,Ганна,Василівна,Жінка,14.02.1980,Математик,селище Гірське,"набережна Миколи Пильчикова, буд. 7, Канів, 64517",+380 (67) 908-11-27,tokarostap@example.org
Павлик,Орест,Васильович,Чоловік,09.12.1942,Клоун,селище Ананьїв,"узвіз Петра Лещенка, буд. 44, Городенка, 10892",+380 75 683 37 65,anastasiia31@example.org
Дурдинець,Хома,Євгенович,Чоловік,05.02.1965,Ґрунтознавець,хутір Кам'янка-Бузька,"вулиця Лінія 48-ма, буд. 0, Зборів, 73523",035 822-92-45,serhiiteslenko@example.org
Мірошниченко,Ліза,Ярославівна,Жінка,23.12.1955,Палеонтолог,село Запоріжжя,"узвіз Газова, буд. 122 кв. 39, Дергачі, 21261",074 46 94,boleslavchernenko@example.net
Вдовенко,Аркадій,Тарасович,Чоловік,28.03.2007,Диригент,хутір Рудки,"сквер Маланова, буд. 014, Боково-Хрустальне, 82983",036 236-56-20,tchubai@example.com
Малик,Пріска,Євгенівна,Жінка,03.10.1984,Електрослюсар,село Боково-Хрустальне,"сквер Грушева, буд. 4, Дрогобич, 46836",+380 (05) 746-55-60,spaslytvyn@example.com
Цибуленко,Емілія,Тарасівна,Жінка,12.09.1955,Кінорежисер,селище Федорівка,"вулиця Ганса Германа, буд. 740, Шумськ, 18605",016 623 99 36,gfesenko@example.com
Оліфіренко,Христина,Анатоліївна,Жінка,30.08.1951,Прокурор,село Любомль,"вулиця Віталія Нестеренка, буд. 4, Підгородне, 56680",+380 01 041-81-92,vlokhvarfolomii@example.com
Чарниш,Станіслав,Анатолійович,Чоловік,21.08.1991,Хореограф,село Жовті Води,"площа Волинський, буд. 44, Кілія, 26461",+380 (06) 039-14-17,lemeshkonataliia@example.net
Василечко,Едуард,Олександрович,Чоловік,22.09.2005,Програміст,селище Рівне,"сквер Старицького, буд. 961 кв. 925, Харцизьк, 76551",+380 97 898-39-22,iaroslavorobets@example.org
Кармалюк,Микита,Богданович,Чоловік,18.06.2006,Швачка,хутір Ясинувата,"площа Геранієва, буд. 08 кв. 79, Вільногірськ, 36954",094-98-62,pavlo35@example.org
Гречаник,Лілія,Романівна,Жінка,09.08.2000,Золотар,місто Тернівка,"вулиця Мелодійний, буд. 50 кв. 8, Коростишів, 56453",814-38-76,orynanazarenko@example.com
Бабариченко,Тетяна,Петрівна,Жінка,17.06.2000,Гірничий інженер,місто Сіверськ,"шосе Байкал тупик, буд. 6, Глухів, 29349",+380 (59) 213-76-04,eiakovenko@example.net
Кабалюк,Лесь,Євгенович,Чоловік,16.06.1978,Продюсер,село Полтава,"шосе Скидановська, буд. 8 кв. 81, Балта, 45753",071 702 07 46,andriichukiarema@example.com
Наливайко,Богуслава,Олександрівна,Жінка,21.05.2006,Геофізик,селище Дебальцеве,"шосе Балтиморська, буд. 74 кв. 32, Путивль, 30682",+380 29 605 26 46,neporozhniiedyta@example.net
Рябошапка,Орхип,Ярославович,Чоловік,27.06.1971,Футболіст,хутір Тячів,"сквер Євгена Крамаренка, буд. 645 кв. 0, Радивилів, 16223",056 687 79 79,nzabara@example.org
Алексеєнко,Максим,Федорович,Чоловік,16.11.2002,Маркетолог,хутір Суми,"провулок Книжковий, буд. 27, Білопілля, 10703",035 845-31-81,larysa74@example.com
Ященко,Пармен,Федорович,Чоловік,27.10.1964,Мікробіолог,селище Кобеляки,"парк Танкістів, буд. 1, Городня, 39513",068 155 48 65,fchumachenko@example.net
Тесленко,Аарон,Петрович,Чоловік,03.02.1972,Правник,селище Селидове,"парк Успенська, буд. 747, Городенка, 03408",+380 54 035-25-94,opanas00@example.org
Тиха,Теодор,Васильович,Чоловік,06.01.1963,Акушер,місто Українка,"провулок Юхима Фесенка, буд. 153 кв. 7, Привілля, 89377",004 886 47 90,verhunliza@example.com
Пустовіт,Олекса,Анатолійович,Чоловік,02.04.1995,Євнух,місто Білопілля,"провулок 5-та Лінія Марії Демченко, буд. 681 кв. 78, Інкерман, 12417",+380 73 828-75-59,viurchyshyn@example.net
Ващук,Анастасія,Володимирівна,Жінка,17.05.1939,Астроном,місто Ніжин,"парк Малинова, буд. 4 кв. 0, Красилів, 73922",317 27 83,mykolaidankiv@example.net
Ільченко,Соломія,Андріївна,Жінка,31.08.1971,Ріелтор,селище Верхівцеве,"провулок Караїмська, буд. 73 кв. 2, Вуглегірськ, 93598",+380 53 753-09-40,leonid88@example.org
Василевич,Олена,Анатоліївна,Жінка,27.05.1939,Візажист,місто Перещепине,"шосе Маланова, буд. 57 кв. 58, Звенигородка, 87870",035 778 14 40,psyrotenko@example.org
Оніщук,Єва,Андріївна,Жінка,31.07.2008,Лікар,селище Кремінна,"парк Студентський 3-й, буд. 7, Лохвиця, 91216",071 690-81-48,iustyna93@example.org
Влох,Оксана,Олександрівна,Жінка,30.07.1954,Графік,місто Сторожинець,"шосе Університетський, буд. 518, Кролевець, 44034",+380 (02) 372-61-96,romanenkoemiliia@example.com
Бандурка,Семен,Іванович,Чоловік,23.03.1993,Електромонтажник,місто Жидачів,"узвіз Травневий, буд. 19, Курахове, 87090",613-97-43,fchernenko@example.net
Гавришкевич,Євген,Петрович,Чоловік,20.04.1977,Штукатур,селище Шумськ,"шосе Тролейбусна, буд. 72 кв. 946, Борислав, 93591",+380 24 626-83-57,mnesterenko@example.net
Бевз,Богданна,Василівна,Жінка,28.09.1987,Прокурор,село Подільськ,"проспект Буковецького, буд. 50, Кагарлик, 85834",022 024-81-88,dannaviter@example.org
Наливайко,Мартин,Романович,Чоловік,13.11.1981,Інженер,селище Ужгород,"набережна Дальній, буд. 6 кв. 1, Перевальськ, 45878",321 72 40,iaryna13@example.org
Бевзенко,Віталій,Сергійович,Чоловік,23.03.1980,Геофізик,хутір Лиман,"узвіз Ольги Благовидової, буд. 6 кв. 2, Ананьїв, 15816",087 877-83-73,odarkaokhrymovych@example.org
Овчаренко,Онисим,Юрійович,Чоловік,17.08.1985,Ювелір,місто Олександрівськ,"сквер Кримська, буд. 572, Мирноград, 93009",355 65 05,vertyporokhliubov@example.org
Ванченко,Миколай,Сергійович,Чоловік,17.07.2008,Клавішник,хутір Бахчисарай,"сквер Пересипська 6-та, буд. 0 кв. 15, Берегове, 84649",+380 13 406-70-37,hryhoriichaika@example.org
Андрієнко,Микита,Станіславович,Чоловік,23.10.1984,Стропальник,селище Володимир-Волинський,"шосе Виїзна, буд. 8, Ладижин, 68095",+380 93 868-44-96,liza90@example.net
Журавель,Стефан,Андрійович,Чоловік,10.01.1983,Науковець,місто Узин,"узвіз 2-й Академічний тупик, буд. 898 кв. 5, Соледар, 02266",+380 85 297-04-83,heorhiikhrystenko@example.com
Бабиченко,Ігор,Анатолійович,Чоловік,06.09.1940,Ботанік,місто Кодима,"шосе Овідіопольська дуга, буд. 1 кв. 828, Шостка, 03415",+380 (60) 499-56-56,piatachenkoolha@example.com
Скорик,Омелян,Сергійович,Чоловік,20.10.2006,Флорист,селище Миколаївка,"провулок Курортний 6-й, буд. 10 кв. 11, Кіцмань, 70469",065 297-12-71,tarasonyshchenko@example.com
Гузій,Пантелеймон,Миколайович,Чоловік,18.01.1980,Секретар,село Марганець,"провулок Рятувальників, буд. 3 кв. 671, Ланівці, 14962",720 01 66,dkarpa@example.com
Франко,Златослава,Євгенівна,Жінка,21.08.1984,Геофізик,село Сімферополь,"парк Промислова, буд. 4 кв. 9, Південне, 18831",+380 89 838-39-93,haidaiodarka@example.org
Франко,Євген,Геннадійович,Чоловік,16.11.1996,Ді-джей,місто Олександрія,"вулиця Софії Перовської, буд. 87, Кипуче, 62397",+380 09 357 98 03,larysa78@example.com
Смик,Ліза,Миколаївна,Жінка,10.04.1972,Клавішник,місто Люботин,"проспект Польовий 1-й, буд. 8, Костопіль, 21350",+380 89 970 89 97,tymofiisvystun@example.org
Ґерета,Максим,Анатолійович,Чоловік,06.10.2003,Краєзнавець,хутір Сорокине,"вулиця Прорізний, буд. 3 кв. 2, Лисичанськ, 66076",045 005 76 52,bohuslavabairak@example.net
Козак,Клавдія,Богданівна,Жінка,11.04.1999,Сценарист,селище Шпола,"сквер Сортувальна 2-га, буд. 395 кв. 47, П'ятихатки, 77044",438 82 20,ustym74@example.org
Калениченко,Омелян,Володимирович,Чоловік,15.11.1966,Хімік,хутір Буча,"площа Кропивницького, буд. 1 кв. 326, Ходорів, 26922",028 900 16 48,opanasenkoamvrosii@example.org
Носенко,Олесь,Федорович,Чоловік,22.03.1979,Зоолог,хутір Добромиль,"шосе Лінія 30-та, буд. 1 кв. 695, Кам'янка (Черкаська область), 24367",095 833-37-62,vcherinko@example.com
Бевз,Еріка,Геннадіївна,Жінка,22.06.2001,Фольклорист,хутір Каховка,"набережна Чорноморський 2-й, буд. 58 кв. 615, Самбір, 36859",045 406 79 54,tokarzlatoslava@example.org
Фесенко,Левко,Тарасович,Чоловік,25.11.1984,Режисер,село Радивилів,"площа Флотський 4-й, буд. 649, Луганськ, 88860",+380 17 178-82-77,emiliia00@example.com
Баранець,Демʼян,Петрович,Чоловік,25.07.1995,Публіцист,село Тараща,"проспект Верстатобудівна, буд. 04, Приморськ, 24664",+380 59 745 94 39,oleksandr76@example.org
Годунок,Венедикт,Романович,Чоловік,09.07.1938,Стоматолог,хутір Волноваха,"провулок Юрія Єгорова, буд. 9, Світлодарськ, 21393",007 610-91-36,iaremchukihnat@example.net
Артимишина,Василина,Миколаївна,Жінка,13.07.1966,Геолог,хутір Золоте,"шосе Мала Садова, буд. 5 кв. 0, Апостолове, 70658",+380 18 387-25-49,jiurchuk@example.net
Франчук,Софія,Ярославівна,Жінка,26.02.1974,Науковець,хутір Одеса,"узвіз Мерло, буд. 15 кв. 850, Калинівка, 04519",097 525-97-37,elemeshko@example.com
Чумаченко,Дмитро,Миколайович,Чоловік,09.02.1940,Журналіст,селище Херсон,"сквер Персикова, буд. 41 кв. 408, Глобине, 71841",004 965 43 30,marusiaskopenko@example.net
Яремків,Яків,Анатолійович,Чоловік,05.08.2007,Бібліотекар,селище Мала Виска,"площа Зернова, буд. 8 кв. 39, Канів, 13832",+380 32 256-85-58,adamiurchenko@example.org
Давимука,Левко,Богданович,Чоловік,03.07.1941,Намотувальник,місто Корюківка,"сквер Максима Чайки, буд. 41, Березань, 05876",+380 44 452-80-74,amykhaliuk@example.com
Запорожець,Аліна,Сергіївна,Жінка,29.12.1973,Продюсер,село Свалява,"шосе М’ясоєдовська, буд. 775 кв. 229, Помічна, 20849",002 004 20 69,ratamaniuk@example.net
Адамчук,Костянтин,Сергійович,Чоловік,15.03.1987,Хімік,селище Кривий Ріг,"парк 7-ма Лінія 6-й ст. Люстдорфської дороги, буд. 294 кв. 59, Почаїв, 58620",+380 61 275-67-55,viacheslav47@example.org
Саєнко,Альбіна,Олександрівна,Жінка,14.08.1951,Стропальник,хутір Долина,"проспект Бориса Дерев'янка, буд. 98 кв. 41, Надвірна, 45335",+380 87 405-57-24,ierchenkoaaron@example.net
Щербак,Ірена,Тарасівна,Жінка,07.01.1999,Фольклорист,село Фастів,"шосе Каменярів, буд. 886, Барвінкове, 16708",264 03 66,dubenkoarsen@example.net
Авдєєнко,Ярослава,Миколаївна,Жінка,25.12.1954,Музикознавець,місто Кипуче,"провулок Кавунова, буд. 04, Балта, 01131",+380 35 509-66-78,martyngalagan@example.org
Гаврилишин,Аврелій,Петрович,Чоловік,24.03.1968,Адвокат,місто Зміїв,"шосе Офіцерський 2-й, буд. 370 кв. 81, Білозерське, 06567",+380 53 248-98-05,konopliaviktoriia@example.com
Данилюк,Веніямин,Богданович,Чоловік,21.10.1946,Кінолог,хутір Миронівка,"набережна Фахова, буд. 636, Рені, 78440",+380 70 401 46 15,shchyrytsiatereza@example.com
Удовиченко,Василина,Сергіївна,Жінка,14.03.1956,Електромонтажник,місто Мостиська,"вулиця Верхня, буд. 2 кв. 8, Сновськ, 21456",+380 11 213-20-56,vashchenkolarysa@example.com
Арсенич,Леонід,Тарасович,Чоловік,20.10.1958,Педагог,село Боково-Хрустальне,"проспект Танкістів, буд. 5 кв. 96, Бобровиця, 72557",055 137 17 50,shapovallukian@example.net
Ляшко,Петро,Іванович,Чоловік,16.09.1955,Ґрунтознавець,селище Подільськ,"шосе Сашка Хорошенка, буд. 673 кв. 684, Соснівка, 88743",010 928 12 99,khorishkomykhailyna@example.net
Шеремета,Костянтин,Ярославович,Чоловік,12.09.1961,Модель,селище Богуслав,"парк Симфонічна, буд. 3 кв. 741, Лебедин, 03010",+380 83 772 73 96,irynakhmara@example.org
Медведенко,Вадим,Анатолійович,Чоловік,07.07.1950,Ботанік,місто Бахмач,"провулок Карпатська, буд. 44 кв. 36, Кальміуське, 96787",359 09 35,okhrimkalenychenko@example.net
Дахно,Климент,Олександрович,Чоловік,29.11.2000,Скульптор,селище Белз,"площа Естафетна, буд. 0, Отаманівка, 76685",+380 (54) 236-09-84,boryslav57@example.com
Гайдабура,Болеслав,Станіславович,Чоловік,20.02.1947,Провізор,хутір Світловодськ,"площа Пішонівська, буд. 1 кв. 6, Носівка, 24944",774 21 69,spas27@example.org
Гузь,Валентин,Євгенович,Чоловік,04.05.1980,Паблік рилейшнз,місто Сколе,"проспект Дністровська, буд. 98, Хотин, 25849",+380 (23) 299-74-49,kiakymenko@example.org
Лесик,Олена,Петрівна,Жінка,30.08.1967,Режисер,селище Южноукраїнськ,"проспект Академіка Філатова, буд. 84, Луцьк, 63149",+380 18 562-98-40,oleksaieshchenko@example.org
Михайлюк,Леонід,Романович,Чоловік,02.11.1938,Скульптор,село Новгород-Сіверський,"шосе Маріупольська, буд. 3, Дубляни, 70008",+380 38 083-49-49,vadymivasiuk@example.net
Єресько,Варфоломій,Вікторович,Чоловік,15.06.1998,Кушнір,село Шаргород,"площа Перший Кришталевий, буд. 756, Токмак, 01190",+380 88 838 37 51,avrelii66@example.net
Олійник,Семен,Богданович,Чоловік,09.01.1951,Фрілансер,хутір Вінниця,"вулиця Кавказький, буд. 0 кв. 784, Вижниця, 45177",+380 41 878-52-81,orestzhuchenko@example.net
Карпа,Варвара,Миколаївна,Жінка,20.03.1987,Стиліст,хутір Чортків,"вулиця Радіо, буд. 2 кв. 86, Вознесенськ, 59199",012 381-13-84,dan96@example.net
Цушко,Захар,Ярославович,Чоловік,20.08.1998,Кінорежисер,село Новоселиця,"узвіз Пересипська 2-га, буд. 842, Ладижин, 84544",+380 67 635-15-11,bohuslav01@example.net
Ватаманюк,Роксолана,Анатоліївна,Жінка,16.09.2006,Інженер,село Деражня,"проспект Академіка Векслера, буд. 1 кв. 95, Кипуче, 57695",+380 (51) 545-46-94,mykyta19@example.net
Яковенко,Леопольд,Тарасович,Чоловік,14.03.2002,Пекар,селище Марганець,"узвіз Павлодарська, буд. 994, Устилуг, 24623",054 288-56-90,dan69@example.org
Рубець,Розалія,Олександрівна,Жінка,05.03.1972,Бібліограф,село Миронівка,"шосе Лінія 30-та, буд. 03, Глухів, 78225",004 130-92-63,aleksiichukviacheslav@example.org
Чумак,Данна,Іванівна,Жінка,03.06.1964,Мистецтвознавець,хутір Ямпіль,"парк Дорбуду, буд. 0, Шептицький, 82676",+380 55 661 50 02,hanna67@example.org
Хомик,Аліна,Олександрівна,Жінка,28.08.1939,Фрілансер,селище Донецьк,"проспект Леопольда Ященка, буд. 8, Дубровиця, 89525",050 436-50-66,svitlanavatamaniuk@example.com
Бабʼюк,Оксенія,Анатоліївна,Жінка,09.01.2002,Філолог,село Іловайськ,"набережна Чорничний, буд. 287, Очаків, 87743",+380 89 752-65-26,tereza12@example.net
Затовканюк,Сергій,Васильович,Чоловік,22.05.1993,Художник,місто Вільнянськ,"площа Трояндова, буд. 86, Ніжин, 40905",+380 60 575-42-68,oleszasenko@example.org
Малик,Ярослава,Василівна,Жінка,21.01.1961,Сантехнік,хутір Погребище,"площа 1-ша Лінія 6-й ст. Люстдорфської дороги, буд. 0, Дубровиця, 88068",+380 81 694-78-23,oberemkozakhar@example.org
Колодуб,Аліна,Василівна,Жінка,20.12.1957,Археолог,хутір Арциз,"площа Штабний, буд. 37 кв. 263, Апостолове, 59848",+380 21 229 07 29,artemenkoserhii@example.org
Александренко,Ярослав,Володимирович,Чоловік,23.06.1948,Публіцист,селище Горохів,"узвіз Пересипська 9-та, буд. 37 кв. 35, Сторожинець, 77859",+380 (97) 053-17-86,liza29@example.com
Карпенко,Левко,Олександрович,Чоловік,19.03.1995,Фрілансер,село Бахчисарай,"узвіз Миколи Плигуна, буд. 9 кв. 7, Зборів, 65366",+380 13 607-55-97,liubovprokopovych@example.net
Фоменко,Ігнат,Федорович,Чоловік,29.10.1988,Намотувальник,село Семенівка,"набережна Дачний 1-й, буд. 039 кв. 6, Білопілля, 52656",+380 (98) 120-18-46,havrylokhudobiak@example.net
Нестеренко,Болеслав,Дмитрович,Чоловік,30.05.1973,Стропальник,хутір Старобільськ,"провулок Лавкова, буд. 38 кв. 088, Лозова, 37019",+380 95 366-81-95,martyn40@example.net
Терещук,Прохір,Іванович,Чоловік,07.02.1975,Кухар,місто Іловайськ,"вулиця Аеропортівський 1-й, буд. 5 кв. 73, Косів, 76961",+380 31 004-56-04,averchenkomariana@example.org
Гавриленко,Оксенія,Юріївна,Жінка,14.06.1965,Вчитель,селище Привілля,"вулиця Львівська, буд. 18 кв. 080, Тячів, 65319",+380 54 382-26-53,skorykolena@example.com
Гоголь,Владислав,Анатолійович,Чоловік,05.09.1957,Композитор,місто Звенигородка,"узвіз Деревообробний 3-й, буд. 9, Зміїв, 25265",+380 (29) 429-29-58,amvrosiirudyk@example.com
Дахно,Захар,Андрійович,Чоловік,02.02.1962,Архітектор,селище Костянтинівка,"узвіз Василя Кандинського 1-й, буд. 37, Чернівці, 90044",+380 44 903-75-65,mfartushniak@example.org
Піддубна,Маруся,Олександрівна,Жінка,17.10.1941,Реабілітолог,місто Борислав,"площа Слов'янська, буд. 51 кв. 932, Овруч, 48587",431 99 52,alevtynudovenko@example.net
Нестеренко,Надія,Богданівна,Жінка,01.01.1947,Хореограф,село Лозова,"узвіз Кощового отамана, буд. 7, Берегове, 86593",039 685-06-52,ielyseiandriiovych@example.org
Вернидуб,Борис,Романович,Чоловік,11.08.1965,Бібліотекар,село Олешки,"проспект Саймона Літмана, буд. 0, Валки, 32135",+380 86 405-93-53,mykhailiukartem@example.org
